english,mandarin,pinyin
I've got a fish bone stuck in my throat.,?????????????,you gen yú gú tou qia zài wo de hóu lóng li?
There's always a ready sale for high-quality furniture.,?????????.,gao dàng jia jù zong shì hen chàng xiao.
I want to get this package off at once.,????????????,wo xiang ba zhè gè bao guo ma shàng jiao yóu?
Have it charged to my credit card.,??????????????,ba ta jì zài wo de xìn yòng ka de zhàng hào li?
The winner has first pick of the prizes.,???????????.,shèng zhe you xuan zé jiang pin de you xian quán.
The sway of the ferry made him feel sick.,"??????, ?????.","dù chuán yáo yáo huàng huàng,  ta gan dào è xin."
She has good taste in clothes.,?????????????,ta duì fú zhuang you hen hao de shen mei yan guang?
The prisoner paced the floor of his cell.,????????????.,nà fàn rén zài láo fáng li lái huí de zou?.
The soldier volunteered for guard duty.,????????????,nèi gè zhàn shì zì gào fèn yong qù zhàn gang?
We must take a hard look at our finances.,????????????.,wo men ying gai mì qiè zhù yì cái wù wèn tí.
Women have a higher life expectancy than men.,???????????.,nu:3 rén bì nán rén de yù qi shòu mìng zhang.
She cast her eyes down to avoid direct eye contact.,???????????,ta chuí xià shuang mù yi bì mian duì shì?
Dusk was settling over the city.,?????????????,du shì long zhào zài jiàn àn de tian sè zhi zhong?
The dog remained faithful to his master.,????????????,zhè tiáo gou shi zhong zhong yú ta de zhu rén?
We have debts totaling 5000 dollars.,?????????????,wo men de zhài wù zong jì wèi wu qian mei yuán?
We have the authority to search this building.,???????????.,wo men you quán sou chá zhè zuò jiàn zhù wù.
The full details of the agreement haven't been made public.,??????????,xié yì de xì jié shàng wèi gong bù?
The terrorists escaped across/over the border.,???????????.,kong bù fèn zi yuè guò bian jìng táo zou le.
The salve will heal slight burns.,????????????,zhè zhong yào gào néng zhì liáo qing wéi shao shang?
The terrorists escaped across/over the border.,???????????.,kong bù fèn zi yuè guò bian jìng táo zou le.
The terrorists escaped across/over the border.,???????????.,kong bù fèn zi yuè guò bian jìng táo zou le.
I hate being shut away in the country.,?????????????,wo hen bù xi huan zhù zài bì sè de xiang cun?
Our foil packets seal the flavour in.,????????????.,wo men yòng xí zhi bao zhuang yi bao chí yuán wèi.
The sentry challenged the stranger at the gates.,???????????.,shào bing zha wèn zài mén kou de mò sheng rén.
The act or process of depleting.,??,??????????,sun hào, jian sun sun hào de xíng wéi huò guò chéng
The police searched every nook and corner for the escaped criminal.,?????????,jing fang dào chù sou chá táo fàn?
The case was dismissed because of insufficient evidence.,??????????.,gai àn yin zhèng jù bù zú ér chè xiao.
Her eyes took on a hurt expression.,?????????????.,ta de yan li liú lù chu shòu wei qu de shén qíng.
Her eyes kindled with excitement.,??????????????,ta de yan jing li shan yào chu ji dòng de shén sè?
Nothing could rekindle her extinct passion.,"?????, ??????.","ta ji qíng yi shì,  wú cóng xin huí yì zhuàn."
The huge waves made a breach in the sea wall.,???????????.,dà làng zài di shàng chòng chu yi gè que kou.
She talked to us with a defiant manner.,?????????????,ta yòng miè shì de tài du huò wo men shuo huà?
There are many needy families in our village.,????????????,wo men cun zi you hen duo pín kùn jia tíng?
They explained what had happened.,?????????????.,ta men wèi suo fa sheng de shì jìn xíng le biàn jie.
The transparency and luster of a gem.,????????????,shui shai bao shí de tòu míng dù jí guang jié dù
There are five spacemen in the spaceship.,????????????,yu zhòu fei chuán li you wu gè fei xíng yuán?
He wore an immaculate uniform for the date.,????????????,ta chuan zhuó zheng jié de zhì fù qù yue huì?
He is not so clever as diligent.,??????????????,yu qí shuo ta cong míng dào bù rú shuo ta qín fèn?
He richly deserved the punishment he received.,????????????,ta shòu dào de chu fá shì zuì you ying dé?
The court is not competent to try the case.,?????????????,gai fa yuàn méi you shen li gai àn de zi gé?
Her mission was to reclaim former criminals.,?????????????,ta de rèn wu shì gan huà guò qu de zuì fàn?
Friction between two sticks can create a fire.,???????????.,liang gè gùn bàng xiang hù mó ca néng qi huo.
He has forfeited the right to represent the people.,???????????.,yi chè xiao ta dài biao rén mín de zi gé.
Crimes committed under cover of patriotism.,?????????????,da? ài guó de qí hào fàn xià de zuì xíng?
They argued the case for hours.,???????????????,ta men jiù zhè gè àn zi biàn lùn le ji ge xiao shí?
The sway of the ferry made him feel sick.,"??????, ?????.","dù chuán yáo yáo huàng huàng,  ta gan dào è xin."
The bushes will screen us while we change.,????????????.,wo men yòng guàn mù cóng zhe dàng? huàn yi fu.
"The cat whined at the door, asking to be let out.",???????????,mao zài mén kou ai jiào zhuó xiang chu qù?
The country acknowledged his claim to the throne.,???????????.,quán guó rén mín què rèn le ta de wáng quán.
She was fined for driving above the regulation speed.,???????????,ta yin chao sù kai che ér bèi fá kuan?
The police are interrogating two suspects.,???????????.,jing fang zhèng zài shen xùn liang gè xián yí fàn.
The police are interrogating two suspects.,???????????.,jing fang zhèng zài shen xùn liang gè xián yí fàn.
The silence was succeeded by the striking of a clock.,??????????.,shí zhong míng xiang sheng da pò le jì jìng.
A guide conducted the visitors round the museum.,???????????.,dao yóu dài ling yóu kè can guan bó wù guan.
Asking if a diner is ready to order.,?????????????,xún wèn jiù can zhe shì fou zhun bèi dian cài le?
The very idea sets my head reeling.,?????????????.,jiù shì nà niàn tou ba wo nòng de tou hun nao zhàng.
An educational outreach to illiterate adults.,????????????,duì wén máng de jiào yù fú wù xiàng mù kuò dà
She uses rather dated words and phrases.,?????????????,ta shi yòng de cí yu wèi mian tài chén jiù le?
A diadem was worn as sign of royal power.,????????????,dài zhuó de huáng guan shì wáng quán de xiàng zheng?
This concept is at the very core of her theory.,????????????.,zhè gè gài niàn shì ta de li lùn de hé xin.
She received the most barbarous treatment.,?????????????,ta shòu dào ta men jí wéi cán bào de dài yù?
Her whole life has been given to the study of dance.,???????????,ta yi sheng xiàn shen yú yán jiu wu dao?
Steam has fogged the bathroom mirror.,??????????????,shui zheng qì ba yù shì li de jìng zi zhe zhù le?
She uses rather dated words and phrases.,?????????????,ta shi yòng de cí yu wèi mian tài chén jiù le?
The demonstrators distributed leaflets to passers-by.,??????????.,shì wei zhe xiàng xíng rén fen fa chuán dan.
The stone caught him on the side of the head.,????????????.,nà kuài shí tou ji zhòng ta tóu bù de cè miàn.
We sat listening to the sound of the waves.,????????????,wo men zuò zhuó qing ting hai làng de sheng yin?
The stillness was rent by thunderous applause.,????????????,léi míng ban de zhang sheng da pò le jì jìng?
The dismissals led to a strike.,??????????????,gù zhu jie gù gong rén dao zhì le bà gong shì jiàn?
Class differences can divide a nation.,?????????????,jie jí cha yì kuài zào chéng guó jia de fen liè?
Please guard against pickpockets on the bus.,????????????,zài gong gòng qì che shàng yào jin fáng pá shou?
The shot panned slowly across the room.,????????????.,jìng tóu màn màn yí dòng pai shè fáng jian quán jing.
We're rooting for the college baseball team.,????????????.,wo men zài ji xué yuàn de bàng qiú duì jia yóu.
I refuse to take such a treatment lying down.,????????????,wo jué bù gan xin ren shòu zhè zhong dài yù?
The company's results show a huge jump in profits.,???????????.,gong si de jié suàn xian shì lì rùn dà zeng.
Several of the accused were found guilty.,????????????,bèi gào zhòng you shuò rén bèi pàn dìng you zuì?
His representation influenced them to investigate.,????????????,ta de chén shù cù shi ta men qù diào chá?
The company decided to appoint a new treasurer.,????????????,gong si jué dìng rèn mìng yi wèi xin si kù?
The business faltered and then failed.,??????,??????,shang xìng sheng yi shuai tuì, zuì hòu dao bì le?
He altered one of the rooms into a bedroom.,?????????????,ta ba yi jiàn wu zi gai jiàn chéng le wò shì?
History chronicles important events of the past.,????????????,lì shi jì zai lì dài zhòng yào de shì jiàn?
I must fill that crack in the wall.,?????????????.,wo de ba qiáng shàng de nà tiáo liè fèng tián bu hào.
The color of the curtains approximates that of the rug.,???????????,chuang lián de yán sè huò dì tan xiang jìn?
These pillars carry the weight of the roof.,????????????.,zhè xie zhù zi zhi cheng? wu ding de zhòng liàng.
He altered one of the rooms into a bedroom.,?????????????,ta ba yi jiàn wu zi gai jiàn chéng le wò shì?
Two visitors were brutally slain yesterday.,????????????,zuó tian you liang míng yóu kè can zao sha hài?
The beach was crowded with sunbathers.,?????????????.,sha tan shàng ji man le zuò rì guang yù de rén men.
The ruling was not fair to everyone.,????????????.,zhè xiàng cái jué bìng fei duì mei rén dou gong zhèng.
With an easy spring the cat reached the branch.,????????????.,nà mao qing qing yi yuè jiù gòu dào le shù zhi.
"She's a gutsy player, she never gives in.","????????, ????.","ta shì gè yong gan de xuan shou,  cóng bù qu fú."
A cargo of steel was lost at sea.,??????????????,you yi huò lún de gang cái zài hai shàng yí shi le?
Storm when we transverse is certainly very big.,????????????,wo men hèng dù shí feng làng yi dìng hen dà?
The accident was caused by human error.,?????????????,zhè zong shì gù shì rén wéi guò shi zào chéng de?
She wrote a book on the Paris Commune.,??????????????,ta xie le yi ben guan yú Ba lí gong shè de shu?
She disavows any part (ie says she was not involved) in the plot.,??????????.,ta fou rèn can yù le zhè yi mì móu.
"According to English law, Hubert is innocent.",??????,??????,gen jù Ying guó fa lu:4, ha pai tè wú zuì?
There are two types of rocks in this area.,?????????????,zhè gè dì qu you liang zhong lèi xíng de yán shí?
Move over and let your grandmother sit down.,????,????????,zuò guò qu dian, ràng ni wài pó zuò xia lái?
Hemingway often writes in the first person.,????????????,hai míng wei cháng yòng dì yi rén chèng xie zuò?
The firm is big on extravagant promotion drives.,???????????.,zhè jia gong si zhèng dà gao tui xiao yùn dòng.
Cocked the bat before swinging at the pitch.,????????????,tóu qiú shí zài bai dòng zhi qián ju qi qiú bàng
His voice carries the ring of authority.,?????????????,ta de sheng yin zhòng dài you quán wei de kou qì?
The injured dog had to be destroyed.,?????????????.,zhè zhi shòu shang de gou yào yu yi rén dào hui miè.
He always wants to be the focus of attention.,????????????,ta zong xiang chéng wéi zhù yì lì de jiao dian?
Rioting broke out between rival groups of fans.,???????????.,shuang fang qiú mí zhi jian fa sheng le sao luàn.
You must declare all you have earned in the last year.,???????????.,ni bì xu shen bào qù nián de zong shou rù.
She's knocking herself out with all that work.,?????????????.,ta zuò de gong zuò ba ta lèi de jin pí lì jìn.
The accident was caused by human error.,?????????????,zhè zong shì gù shì rén wéi guò shi zào chéng de?
It's easy to sell insurance to a pessimist.,????????????.,xiàng bei guan de rén tui xiao bao xian hen róng yì.
No one can hold back the wheel of history.,?????????????,méi you rén néng gòu zu dang lì shi de ju lún?
We must ensure the purity of drinking water.,?????????????,wo men bì xu què bao yin yòng shui de chún jìng?
Baseball is the national game of the USA.,?????????????,bàng qiú shì Mei guó quán mín xi ài de yùn dòng?
His success was consequent on his hard work.,?????????????,ta de chéng gong shì qín fèn gong zuò de jié guo?
They signed the agreement and the documents appended thereto.,???????????,ta men qian shu le xié yì yù fù jiàn?
She enjoyed high prestige among the masses.,????????????,ta zài qún zhòng zhòng xiang you hen gao wei xìn?
He's been ill and isn't fit for work yet.,??????,??????,ta yi zhí zài sheng bìng, shàng bù néng gong zuò?
All opposition to the plan has caved in.,??????????????,zhè gè jì huà de fan duì pài quán bù qu fú le?
Sentiment in the town is now in favor of a cut in tax.,???????????,shì mín de qíng xù shì zàn chéng jian shuì?
The retailer has to absorb the cost of wastage.,???????????.,líng shòu shang xu chéng shòu hào sun de fèi yòng.
We may as well leave the table after dinner is over.,????????????,wan can hòu wo men bù fang lí kai zhuo zi?
The rights of the people are protected by law.,?????????????,rén men de quán yì shì shòu fa lu:4 bao hù de?
Baseball is the national game of the USA.,?????????????,bàng qiú shì Mei guó quán mín xi ài de yùn dòng?
The infantry began to deploy at dawn.,?????????????.,bù bing lí míng shí kai shi jìn rù zhàn dòu wèi zhi.
He brushed aside my objections to his plan.,???????,??????,wo fan duì ta de jì huà, ta bù yú li huì?
The concrete walls are reinforced with steel rods.,????????????,hùn níng tu qiáng shì yòng gang jin jia gù de?
Most of Sahara receives almost no rain at all.,?????????????,chè ha la dà bù fen dì qu zhong nián wú yu?
Pride was the greatest flaw in his personality.,????????????.,ào màn shì ta pin gé shàng de zuì dà que xiàn.
Many representatives of the older generation were there.,???????????.,lao yi bèi de gè lèi rén dou zài nà li.
Success and wealth transformed his character.,?????????????,chéng gong huò cái fù gai biàn le ta de xìng gé?
The shot panned slowly across the room.,????????????.,jìng tóu màn màn yí dòng pai shè fáng jian quán jing.
The champions were completely smashed in the final.,???????????.,guàn jun zài jué sài zhòng dou jí le bài zhàng.
Looking farther forward to the end of the century...,??????????....,zài xiàng qián zhan wàng dào ben shì jì mò....
She stopped by just to pass the time of day.,?????????????,ta lái chuàn mén zhi shì wèi le da fa shí jian?
We have to draw off because of losses of forces.,"????, ????????","shang wáng tài dà,  wo men bù dé bù chè tuì?"
The gentle music was (a) balm to his ears.,?????????????.,nà róu hé de yin yuè duì ta shì yi zhòng an wèi.
Our budget has been pared to the bone.,??????????????,wo men de yù suàn yi xue jian dào zuì di xiàn dù?
Ownership of property involves great expense.,?????????????,yong you fáng dì chan yào you hen dà de kai xiao?
I object to our privacy being invaded.,??????????????,wo fan duì wo men de yin si quán shòu dào qin hài?
He is cutting the branches with a pair of shears.,????????????,ta zhèng yòng yi ba dà jian dao jian shù zhi?
The products we sell are many and various.,??????????????,wo men chu shòu de chan pin shì gè shì gè yàng de?
We immediately realized that we were kindred spirits.,????????????.,wo men ma shàng fa jué bi ci zhì tóng dào hé.
I am studying art at Stockholm University.,??????????????,wo zài si dé ge er mó dà xué gong dú yì shù?
Your intent gaze made her uncomfortable.,??????????????,ni de zhù mù níng shì shi ta gan dào bù zì zài?
A crowd soon collected at the scene of the accident.,???????????.,qún zhòng xùn sù jù jí zài chu shì xiàn chang.
We must ensure the purity of drinking water.,?????????????,wo men bì xu què bao yin yòng shui de chún jìng?
Darkness would make him more appreciative of sight.,????????????,hei àn kuài shi ta gèng jia zhen xi shì lì?
"He woke up, yawned and stretched.","?????, ????????.","ta yi jué xing lái,  bian da he qiàn bian shen lan yao."
The merest noise is enough to wake him.,?????????????.,yi ding dian er sheng yin jiù zú yi ba ta chao xing.
He is considering resignation from the committee.,????????????,ta zhèng kao lu:4 zòng wei yuán huì zhòng cí zhí?
There's a buzz going round that the boss has resigned.,???????????.,you chuán wén shuo zhu guan yi jing cí zhí le.
They have begun to do the prevention of crime.,?????????????,ta men yi jing kai shi fáng zhi fàn zuì xíng wéi?
The story took place in a serene summer night.,?????????????,gù shì fa sheng zài yi gè níng jìng de xià yè?
The company is not a party to the agreement.,?????????????,gai gong si bú shì ci xié yì de dàng shì rén?
The store owner received satisfaction for the damage.,????????????,diàn zhu shou dào le duì sun huài de péi cháng?
Police found a large quantity of illegal drugs.,?????????????,jing chá chá huò le dà liàng de fei fa dú pin?
These rights are unaffected by the new laws.,?????????????,zhè xie quán lì bù shòu xin fa gui de ying xiang?
"This is sanctified ground, and we may not tread upon it.",????,???????,zhè shì shèng dì, wo men bù ke jiàn tà?
He tried to explain away the missing money.,?????????????,ta shì tú wèi diu shi qián ér jìn xíng biàn jie?
This substance is soluble in alcohol.,?????????????,zhè zhong wù zhì néng gòu róng jie zài jiu jing zhòng?
I could not repress a shiver whenever I thought of him.,????????????,wo yi xiang dào ta jiù ren bú zhù chàn dou?
The optic theory originated with Einstein.,?????????????,guang xué li lùn shì ài yin si tan shou chuàng de?
Let me give you a needle to numb the tooth.,??????????????,wo ji ni da yi zhen shi zhè ke yá chi má mù?
They should try to keep prices from rising.,?????????????,ta men ying gai shè fa zu zhi jià qian shàng zhang?
I hate to squabble with my wife about money.,?????????????,wo yàn wù wèi qián de shì xìng tài tai zheng chao?
He was appointed the general consul of Japan.,?????????????,ta bèi rèn mìng wèi zhù Rì ben de zong ling shì?
Her partner tried to trick her out of her share.,??????????????,ta de hé huo rén qi tú piàn zou ta de gu fèn?
The cheque will be cashed on proof of identity.,???????????.,zhè zhang zhi piào píng shen fèn zhèng jiàn duì xiàn.
They stared at the strange sight in silent wonder.,?????????????,ta men jing yà de mò mò níng shì nà qí jing?
In a blaze of anger he shouted at us.,?????,????????,ta shèng nù zhi xià, duì wo men dà sheng jiào rang?
Please don't wait dinner for us.,???????????????,qing bù yào wèi le deng wo men ér yán huan jí wan fàn?
He summed up his assets and liabilities.,??????????????,ta jì suàn chu ta de zi chan huò fù zhài zong hé?
"In intelligence, the children are about equal.",????????????.,zhè xie ér tóng zài zhì lì shàng dà zhì xiang tóng.
The roads were sanded after the snowstorm.,??????????????,dào lù zài bào feng xue zhi hòu pù shàng le sha zi?
His conduct is deserving of the highest praise.,?????????????,ta de xíng wéi gai dé dào zuì gao de zàn shang?
The inscription on the coin had worn away.,?????????????.,zhù zào zài yìng bì shàng de wén zì yi jing mò sun.
He was discouraged from making another attempt.,?????????????,ta shòu quàn zu qù zuò lìng yi cì de cháng shì?
My plan will be on the carpet at today's meeting.,?????????????,jin tian de huì yì jiàng shen yì wo de jì huà?
The constitution vests the president with the power to declare war.,??????????,xiàn fa shòu yu zong tong xuan zhàn quán?
Our forces retired to prepared positions.,??????????????,wo men de bù duì chè tuì dào jì shè zhèn dì shàng?
The constitution vests the president with the power to declare war.,??????????,xiàn fa shòu yu zong tong xuan zhàn quán?
Her latest book discusses the problems of the disabled.,? ???????????.,ta  de xin shu lùn shù cán ji rén de wèn tí.
That defeat meant the death of all my hopes.,??????????????,nà cì shi bài hui miè le wo suo you de xi wàng?
Chest pains may be symptomatic of heart disease.,????????????,xiong tòng ke néng shì xin zàng bìng de zhèng zhuàng?
Water is channelled through a series of irrigation canals.,???????????.,ba shui yin rù yi xì liè guàn gài qú zhòng.
The farmer decided to leave the land fallow for a year.,????????????,nóng fu jué dìng ràng tu dì xiu geng yi nián?
The ship was prized for violating neutrality.,?????????????,nà sou chuán yin wéi fàn zhong lì ér bèi bu huò?
I can't open the door because I've lost the key.,"????????, ?????","wo yin wèi diu shi le yào shi,  wú fa kai mén?"
He gave a grand party for friends and relations.,?????????????,ta ju bàn shèng dà de yàn huì zhao dài qin you?
The shoe manufacturer had several outlets.,?????????????,nà jia zhì xié chang shang you ji jia dài xiao diàn?
Characterized by or inclined to coercion.,?????????????,qiang pò de biao xiàn chu huò qing xiàng yú qiáng zhì de
A sensory receptor that detects warmth.,??????????????,rè tàn cè qì cè liàng rè liàng de min gan jie shòu qì
She churns out romantic novels.,?????????,?????,ta xie le hen duo làng màn xiao shuo, zhì liàng hen ci?
He gave a grand party for friends and relations.,?????????????,ta ju bàn shèng dà de yàn huì zhao dài qin you?
The lifeboat went out to a ship in distress.,?????????????,jiù sheng chuán qù jiù yi sou yù xian de chuán zhi?
A new upsurge in construction is in the making.,?????????????,yi gè jiàn shè de xin gao cháo zhèng zài xing qi?
Our present lease on the flat expires next month.,?????????????.,wo men zhè tào gong yù de zu yue xià yuè dào qi.
I can see her gladness in her eyes.,????????????????,wo ke yi zòng ta de yan jing li kàn chu ta de xi yuè?
There were many flashes of lightning during the storm.,????????????,bào yu zhòng chu xiàn le hao duo cì shan diàn?
The scandal dished his hopes of being elected.,?????????????.,zhè chou wén shi ta dang xuan de xi wàng pò miè le.
The branch has separated from the trunk of the tree.,????????????.,zhè gè shù zhi yi zòng shù gàn shàng tuo luò le.
The boat put in at Lagos/put into Lagos for repairs.,????????????.,nà chuán jìn le la gè si gang jìn xíng jian xiu.
A watchful nurse tending a critically ill patient.,?????????????,zhào gu yi gè zhòng bìng hào de jin shèn de hù shi
The Queen will make the presentation (ie will hand over the gift) herself.,?????????.,nu:3 wáng jiàng qin zì shòu yu li pin.
"My job is hard, but it has its compensation.",??????,???????,wo de gong zuò sui ku, dàn ye you suo bu cháng?
Alcoholics often suffer from periods of oblivion.,?????????????,yin jiu guò dù de rén cháng cháng shi qù jì yì?
The witnesses' statements just don't agree with each other.,????????????,ji ge zhèng ren de chén shù bìng bù yi zhì?
The criminal was sentenced to one year's imprisonment.,????????????,zhè míng zuì fàn bèi pàn chu yi nián jian jìn?
The original picture is in the British Museum.,??????????????,zhè fú huà de yuán zuò zài dà ying bó wù guan nèi?
A good encyclopaedia is a mine of information.,??????????????,yi bù hao de bai ke quán shu shì zhi shi bao kù?
He resigned his commission to take up a civilian job.,????????????.,ta cí qù jun zhí ér cóng shì píng mín gong zuò.
The boss agreed to meet the strikers half way.,?????????????,lao ban tóng yì xiàng bà gong zhe zuò chu ràng bù?
She turned the handle but the door wouldn't open.,"?????, ???????.","ta xuàn dòng ba shou,  dàn mén jiù shì da bù kai."
He cleaned the car with an oily rag.,???????????????,ta yòng yi kuài zhan yóu de mo bù ca gan jìng qì che?
He was quite puffed by the time he reached the top.,????????????.,ta deng shàng ding duan shí qì chuan de hen lì hai.
She always shows kindness to children and animals.,?????????????,ta duì hái zi huò dòng wù zong shì hen wen róu?
The dog barked when the stranger came near.,???????,??????,dàng mò sheng rén zou jìn shí, gou jiào le qi lai?
The priest blessed the ship before it left port.,?????????????,mù shi zài chuán lí gang zhi qián wèi qí zhù fú?
After harvest we will have a mass of rice.,???,??????????,qiu shou hòu, wo men jiàng huò dé dà liàng dào yù?
He was quite puffed by the time he reached the top.,????????????.,ta deng shàng ding duan shí qì chuan de hen lì hai.
She always gets her jewels at high-class shops.,?????????????,ta zong shì zài gao dàng diàn pù li mai shou shì?
The prospects for this year's wine harvest are poor.,????????????.,jin nián de pú tao jiu chan liàng qián jing bù jia.
Many a man has tried to get rich without success.,?????????????,xu duo rén lì qiú fa cái dàn dou wèi chéng gong?
The ship hit the harbour wall broadside on.,?????????????.,zhè tiáo chuán de cè miàn pèng zhuàng le gang kou àn bì.
They opened the parcel with whoops of delight.,"??????, ???????.","ta men da kai bao guo,  gao xìng de jiào han qi lai."
Find level ground for the picnic table.,??????????????.,zhao yi chù píng tan de dì miàn fàng ye can de can zhuo.
She listened to the tragic news ashen-faced.,"?????????, ????.","ta ting dào zhè yi bei can xiao xi,  lian dou bái le."
The fault escaped observation (ie was not spotted) for months.,???????????.,zhè gù zhàng shù yuè lái wèi yin qi zhù yì.
The chairman droned on for hours.,???????????????.,zhu xí yi zhí yi chén mèn de yu diào jiang le ji xiao shí.
He has run his course and takes his perpetual rest.,?????????????,ta yi zou wán ta de xíng chéng ér zhang mián le?
A person following the pursuits of civil life.,??,??????????,píng mín, bai xìng zun xún píng mín sheng huó de rén
The government will garrison the coastal towns.,?????????????,zhèng fu jiàng pài jun zhù shou yán hai de chéng zhèn?
She set the foods and drink before the guest.,??????????????,ta ba shí wù huò yin liào fàng zài kè ren miàn qián?
She is not so foolish as to do that.,???????????????,ta bù zhì yú yú chun dào gàn chu nà yàng de shì lái?
The theatre has had to close for lack of support.,?????????????,zhè jia jù yuàn guang gù zhe gua zhi hao guan bì?
The hard core in the party make all the decisions.,?????????????,zhè gè dang de hé xin chéng yuán jué dìng yi qiè?
Taxation bears heavily on all classes in Britain.,?????????????,shuì shou shi Ying guó gè jie céng jun gan ya pò?
A subsidy from a government to an industry.,??????????????,bu zhù fèi zhèng fu gei yu gong kuàng qi yè de bu zhù
The order for ceramic tiles has been booked in.,??????????????,yào mai cí zhuan de dìng huò yi deng jì xia lai le?
The luxury model gives a smoother ride.,??????????????,zuò zhè zhong háo huá xíng qì che gan jué hen píng wen?
She performs the songs with style and flair.,??????????????,ta yan chàng ge qu jì you feng dù yòu you cái huá?
We were stuck in a traffic jam for an hour.,??????????????.,wo men yin jiao tong du sè ér shòu zu yi gè xiao shí.
Better to postpone the shipment than to cancel the contract.,????????????,yu qí chè yue huán bù rú yán qí zhuang yùn?
He tells me you are his prize patient.,????,???????????,ta duì wo shuo, ni shì yi gè le bù qi de huàn zhe?
His driving licence was revoked after the crash.,?????????????,ta zhuàng che hòu jià shi zhí zhào bèi diào xiao le?
On his arrival the president inspected the guard of honour.,"?????, ??????.","zong tong di dá shí,  jian yuè le yí zhàng duì."
He steamed the stamp off the envelope.,???????????????,ta yòng zheng qì ba xìn feng shàng de yóu piào jie xia lai?
Fill a glass with water and dissolve this tablet in it.,????????????.,dào bei shui ba yào piàn fàng jìn qù róng jie le.
The stockholders are optimistic about the company's future.,????????????,gu dong duì gong si de qián jing hen lè guan?
He resolved that nothing should hold him back.,??????????????,ta xià jué xin bù ràng rèn hé shì qing zu dang ta?
Mrs Hill is not at home to anyone except close relatives.,"???????, ?????.","xi er fu ren bù huì kè,  dàn jìn qin chú wài."
The sentence of six months imprisonment was most unjust.,?????????????,liù gè yuè jian jìn de pàn jué jí qí bù gong?
The president last week vetoed the tax cut.,??????????????,zong tong shàng gè xing qi fou jué le jian shuì fa àn?
One likes to hear complimentson one's appearance.,?????????????.,rén rén dou ài tìng kua jiang zì ji róng mào de huà.
Nothing is sacred to these wild youths.,???????????????,zhè xie kuáng ye de nián qing rén shén me dou bù zun zhòng?
He is vacuuming a rug in the sitting room.,???????????????,ta zài qi ju shì li yòng xi chén qì da sao dì tan?
Buses ply between the two cities.,???????????????,gong ju dìng qi wang fan yú nà liang gè chéng shì zhi jian?
She is sixteen years old but has a mental age of five.,"????, ????????.","ta shí liù suì,  ér zhì lì nián líng shì wu suì."
A penalty clause was written into the contract.,?????????????.,zài hé tong zhòng xie rù le yí xiàng fá kuan tiáo kuan.
Flags had been strung up across the street.,??????????????.,yòng shéng zi chuan? de qí zi hèng xuán zài jie dào shàng.
The bridge was destroyed so we couldn't get across (ie cross) the river.,"????, ??????.","qiáo yi hui huài,  wo men wú fa guò hé."
The court adjudged legal damages to her.,??????????????.,fa yuàn jiàng fa dìng sun hài péi cháng jin pàn ji le ta.
A number of houses were burnt down in the fire.,????,?????????,zài huo zai zhòng, hao xie fáng zi ji shao hui le?
It's useless to continue such a barren argument.,??????????????,jì xù zhè zhong wú liáo de zheng biàn shì wú yòng de?
He will be set free as soon as the fine is paid.,"??????, ???????","zhi yào jiao le fá kuan,  ta jiù kuài bèi shì fàng?"
Nothing is sacred to these wild youths.,???????????????,zhè xie kuáng ye de nián qing rén shén me dou bù zun zhòng?
A politician who beats the drum for liberalism.,??????????????,yi gè jié lì gu chui zì yóu zhu yì de zhèng zhì jia
He varies the treatment according to circumstances.,?????,???????,ta gen jù qíng kuàng, biàn huàn zhì liáo fang fa?
The murderer delivered himself up to justice.,??????????????,nèi gè xiong shou xiàng Si fa bù mén tóu àn zì shou?
The gallery is a treasure trove of medieval art.,??????????????,zhè gè huà láng shì zhòng shì jì yì shù de bao kù?
The end of a pointed or projecting object.,???????????????,jian duan yi gè dài jian huò tu qi de wù ti de mò duan
His army never came under the yoke of invaders.,??????????????,ta de jun duì cóng lái bù xiàng qin lu:è zhe qu fú?
The men at the party were mostly fairly young.,??????????????,can jia jù huì de nán zi dà dou fei cháng nián qing?
The money he borrowed carried him through to the end of month.,????????????,jiè lái de qián shi ta zhi cheng dào yuè di?
These letters revealed her wit and civilization.,??????????????,zhè xie xìn liú lù chu ta de jiào yang huò cái huá?
These letters revealed her wit and civilization.,??????????????,zhè xie xìn liú lù chu ta de jiào yang huò cái huá?
Harbour lights were blinking on the horizon.,?????????????.,hai gang de deng huo zài shui píng xiàn shàng shan shuò?.
She was quite positive about the amount of money involved.,????????????.,ta duì suo shè jí de qián shuò shí fen ken dìng.
"His legs were weary, but his mind was at ease.",???????,??????,ta de shuang tui hen pí fá, dàn xin qíng shu chàng?
The kidnapping caused an international incident.,??????????????,zhè yi bang jià shì jiàn yin qi le guó jì jiu fen?
The club has/have decided to increase subscriptions.,????????????.,kuài suo jué dìng zeng jia bào kan dìng yuè fèn shuò.
There are indications that the situation may be improving.,???????????.,you ji xiàng biao míng qíng kuàng ke néng hao zhuan.
"With a violent twist, he wrenched off the handle.","?????, ????????.","ta meng lì yi nìng,  jiàng nà ba shou nìng le xia lai."
You operate the mechanism by winding this handle.,?????????????.,cao zòng zhè tái ji qì yào zhuan dòng zhè gè ba shou.
She can't hide her deficiencies as a writer.,???????????????.,ta wú fa yan gài ta shen wèi zuò jia de bù zú zhi chù.
We had already perceived how the temperature fluctuated.,?????????????.,wo men yi zhù yì dào wen dù de bo dòng qíng xing.
